Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,563176,-,-,-,37.78,-122.41,0,24,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,DNI,DHI,GHI,Wind Speed,Relative Humidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,9,0,4,0,0,0,2.2,87.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,10,0,3.6,0,0,0,2.3,89.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,11,0,3.3,0,0,0,2.4,91.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,12,0,3,0,0,0,2.3,94.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,13,0,2.9,0,0,0,2.1,95.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,14,0,3,0,0,0,2,96.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,15,0,3.3,0,0,0,1.8,97.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,16,0,5.1,403,28,64,1.9,90.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,17,0,6.9,686,52,221,1.8,84.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,18,0,8.9,826,61,366,1.8,79.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,19,0,10.6,874,67,463,2.1,75.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,20,0,11.9,891,71,507,2.6,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,21,0,12.5,871,74,489,2.8,72.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,22,0,12.5,827,70,413,2.7,73.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,23,0,11.9,0,79,79,2.3,79.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,0,0,10.8,32,79,85,2,85.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,1,0,10.1,0,0,0,1.9,87.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,2,0,9.8,0,0,0,1.8,88.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,3,0,9.6,0,0,0,1.7,88.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
